Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,131,2,18.48,21,0.45,0.78,0.5,2.18,95.37,0.69,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,132,2,20.66,10,0.21,0.56,0.3,2.16,74.28,0.47,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,133,2,22.82,12,0.26,0.5,0.34,2.18,67.23,0.36,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,134,2,25,22,0.47,0.65,0.53,2.91,91.51,0.92,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,135,2,27.91,12,0.26,0.55,0.32,2.37,121.76,0.79,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,136,2,30.28,11,0.23,0.51,0.3,3.67,72.24,0.39,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,137,2,33.95,36,0.77,0.94,0.73,2.7,84.54,1.23,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,138,2,36.65,23,0.49,0.87,0.46,2.26,58.34,0.31,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,139,2,38.91,12,0.26,0.64,0.35,4.08,76.36,0.41,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,140,2,42.99,12,0.26,0.49,0.32,8.14,35.55,0.34,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,141,2,51.13,14,0.3,0.56,0.39,4.76,39.14,0.33,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,142,2,55.89,12,0.26,0.62,0.31,4.77,57.1,0.68,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,143,2,60.66,19,0.4,0.62,0.53,10.51,133.13,0.47,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,144,2,71.17,17,0.36,0.55,0.46,27.47,103.07,0.63,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,145,2,98.64,14,0.3,0.67,0.33,3.48,151.57,0.85,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,146,2,102.12,18,0.38,0.62,0.52,2.55,90.03,0.51,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,147,2,104.67,10,0.21,0.44,0.33,1.77,60.83,0.45,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
